HeatNo,TotalIngotsWeight,PouringScrap,OtherScrap,Cr_Last_EOP,Cr_Final,E3,E6,E8,OCR12,OCR12VM,UTOPMO2,UTOPMO4,PV_E1,PV_E3,PV_E40,PV_E6,PV_E8,FeCr
71601,52230.0,800.0,1000.0,,11.48,43700.0,0.0,0.0,0.0,0.0,0.0,0.0,0,43700,0,0,0,1900.0
71602,49290.0,1000.0,2500.0,,11.58,42100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,42100,0,0,0,2000.0
71609,45210.0,800.0,1500.0,,11.51,0.0,0.0,1300.0,0.0,49000.0,0.0,0.0,0,0,0,0,1300,200.0
71610,46880.0,600.0,400.0,,11.56,0.0,16600.0,0.0,20000.0,0.0,0.0,0.0,0,0,0,16600,0,0.0
71616,42000.0,600.0,100.0,,11.6,0.0,0.0,1500.0,0.0,50000.0,0.0,0.0,0,0,0,0,1500,0.0
71638,47380.0,400.0,2200.0,,11.58,0.0,16600.0,0.0,0.0,20000.0,10000.0,0.0,0,0,0,16600,0,200.0
71641,45830.0,900.0,2000.0,,11.86,0.0,13800.0,0.0,0.0,20000.0,10000.0,0.0,0,0,0,13800,0,0.0
71642,48100.0,1000.0,800.0,,11.61,0.0,13200.0,0.0,0.0,20000.0,10000.0,0.0,0,0,0,13200,0,400.0
71643,49400.0,1000.0,500.0,,11.75,0.0,13200.0,0.0,0.0,20000.0,10000.0,0.0,0,0,0,13200,0,450.0
71644,49440.0,800.0,400.0,,11.59,0.0,13200.0,0.0,0.0,20000.0,10000.0,0.0,0,0,0,13200,0,900.0
71756,48100.0,500.0,1600.0,,11.67,43400.0,0.0,0.0,0.0,0.0,0.0,0.0,0,43400,0,0,0,1300.0
71765,48100.0,1000.0,1000.0,,11.74,43600.0,0.0,0.0,0.0,0.0,0.0,0.0,0,43600,0,0,0,1050.0
71774,48410.0,400.0,2500.0,,11.72,43700.0,0.0,0.0,0.0,0.0,0.0,0.0,0,43700,0,0,0,650.0
71777,48100.0,1000.0,1200.0,,11.79,0.0,23000.0,0.0,0.0,20000.0,0.0,0.0,0,0,0,23000,0,400.0
71778,47380.0,600.0,200.0,,11.75,0.0,23000.0,0.0,0.0,20000.0,0.0,0.0,0,0,0,23000,0,350.0
71780,44850.0,800.0,300.0,,11.71,0.0,22000.0,0.0,0.0,20000.0,0.0,0.0,0,0,0,22000,0,0.0
71807,48100.0,500.0,400.0,,11.78,0.0,0.0,2000.0,0.0,47500.0,0.0,0.0,0,0,0,0,2000,250.0
71815,45120.0,500.0,1000.0,,11.39,0.0,0.0,2000.0,0.0,46000.0,0.0,0.0,0,0,0,0,2000,500.0
71816,43800.0,1000.0,500.0,,11.46,0.0,0.0,2200.0,0.0,45000.0,0.0,0.0,0,0,0,0,2200,620.0
71855,41600.0,800.0,500.0,,11.63,0.0,18500.0,0.0,0.0,20000.0,0.0,0.0,0,0,0,18500,0,500.0
71856,41200.0,800.0,500.0,,11.69,0.0,22600.0,0.0,0.0,20000.0,0.0,0.0,0,0,0,22600,0,790.0
71864,,,,,11.35,0.0,0.0,20100.0,0.0,21000.0,0.0,0.0,0,0,0,0,20100,600.0
71865,,,,,11.54,0.0,0.0,20100.0,0.0,21000.0,0.0,0.0,0,0,0,0,20100,500.0
71867,50700.0,500.0,100.0,,11.65,0.0,22500.0,0.0,0.0,21000.0,0.0,0.0,0,0,0,22500,0,100.0
71870,43740.0,600.0,300.0,,11.4,0.0,0.0,20200.0,0.0,21030.0,0.0,0.0,0,0,0,0,20200,500.0
71876,49400.0,1000.0,800.0,,11.63,0.0,24800.0,0.0,0.0,20000.0,0.0,0.0,0,0,0,24800,0,80.0
71877,48410.0,800.0,1100.0,,11.45,0.0,24500.0,0.0,0.0,20000.0,0.0,0.0,0,0,0,24500,0,1400.0
71878,49440.0,800.0,1000.0,,,43500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,43500,0,0,0,1900.0
71890,47380.0,800.0,3000.0,,11.7,43100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,43100,0,0,0,2000.0
71891,49400.0,1000.0,1800.0,,11.73,0.0,27800.0,0.0,0.0,16000.0,0.0,0.0,0,0,0,27800,0,1100.0
71900,44290.0,800.0,1500.0,,11.69,0.0,27700.0,0.0,0.0,16000.0,0.0,0.0,0,0,0,27700,0,600.0
71901,49440.0,800.0,3000.0,,11.96,0.0,27600.0,0.0,0.0,16000.0,0.0,0.0,0,0,0,27600,0,0.0
71904,45390.0,800.0,300.0,,11.86,41600.0,0.0,0.0,0.0,0.0,0.0,0.0,0,41600,0,0,0,1030.0
71906,42765.0,800.0,600.0,,11.26,0.0,26500.0,0.0,0.0,16000.0,0.0,0.0,0,0,0,26500,0,700.0
